Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"611,289",0.067,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",0.094,"1,540,000","Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",0.44799999999999995,"62,000","Spring, Texas"
4,Apple,Electronics industry,"394,328",0.078,"164,000","Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",0.127,"400,000","Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",0.10400000000000001,"259,500","Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",0.094,"383,000","Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,"282,836",0.098,"156,000","Mountain View, California"
9,McKesson Corporation,Healthcare,"276,711",0.048,"48,500","Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",0.516,"43,846","San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,"238,587",0.115,"41,500","Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",0.158,"304,000","Issaquah, Washington"
13,Microsoft,Technology and cloud computing,"198,270",0.18,"221,000","Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",0.11599999999999999,"46,035","Dublin, Ohio"
15,Cigna,Health insurance,"180,516",0.037000000000000005,"70,231","Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",0.276,"17,800","Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",0.53,"13,000","Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",0.58,"9,743","San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",0.159,"173,000","Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",0.040999999999999995,"471,600","Atlanta, Georgia"
21,General Motors,Automotive industry,"156,735",0.23399999999999999,"167,000","Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",0.13,"102,200","Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",0.217,"293,723","New York City, New York"
24,Kroger,Retail,"148,258",0.075,"430,000","Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",0.147,"74,300","St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",0.024,"117,100","New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",0.107,"262,500","Deerfield, Illinois"
28,Fannie Mae,Financial,"121,596",0.19699999999999998,"8,000","Washington, D.C."
29,Comcast,Telecommunications,"121,427",0.043,"186,000","Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and telecomunications,"120,741",0.285,"160,700","Dallas, Texas"
31,Meta Platforms,Technology,"116,609",0.011000000000000001,"86,482","Menlo Park, California"
32,Bank of America,Financial,"115,053",0.226,"216,823","Charlotte, North Carolina"
33,Target Corporation,Retail,"109,120",0.028999999999999998,"440,000","Minneapolis, Minnesota"
34,Dell Technologies,Technology,"102,301",0.044000000000000004,"133,000","Round Rock, Texas"
35,Archer Daniels Midland,Food processing,"101,556",0.191,"41,181","Chicago, Illinois"
36,Citigroup,Financial,"101,078",0.266,"238,104","New York City, New York"
37,United Parcel Service,Transportation,"100,338",0.031,"404,700","Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,"100,330",0.23399999999999999,"83,000","New York City, New York"
39,Lowe's,Retail,"97,059",0.008,"244,500","Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,"94,943",0.012,"152,700","New Brunswick, New Jersey"
41,FedEx,Transportation,"93,512",0.114,"518,249","Memphis, Tennessee"
42,Humana,Health insurance,"92,870",0.11800000000000001,"67,100","Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,"89,876",0.33299999999999996,"12,565","Dallas, Texas"
44,State Farm,Financial,"89,328",0.086,"60,519","Bloomington, Illinois"
45,Freddie Mac,Financial,"86,717",0.316,"7,819","McLean, Virginia"
46,PepsiCo,Beverage,"86,859",0.087,"315,000","Purchase, New York"
47,Wells Fargo,Financial,"82,859",0.005,"238,000","San Francisco, California"
